Date,log_return,egarch_daily_vol,egarch_annual_vol,realized_21d_annual_vol
2012-03-21,-0.005726526814471908,0.016282057327320635,0.2584696471235244,0.2177676129787711
2012-03-22,-0.005258772845816756,0.01627967474723113,0.2584318248371512,0.2189538496762868
2012-03-23,-0.005504618170448788,0.01636762473732452,0.2598279876467375,0.2234805001541442
2012-03-26,0.018171920248842077,0.01638261903063651,0.2600660146738696,0.22639036305455962
2012-03-27,0.012280132651055632,0.016341705472773492,0.2594165320777312,0.22706149321642638
2012-03-28,0.0050971420313351175,0.01638418871728802,0.26009093267696676,0.22374751088510256
2012-03-29,-0.012644111222111518,0.01649477308956966,0.2618464051646512,0.23225119851578097
2012-03-30,-0.017049493687433696,0.016447312526245924,0.2610929920788253,0.24513307943385412
2012-04-02,0.03132760634924494,0.016390848226562896,0.26019664910933704,0.2615755386395633
2012-04-03,0.017132488192178174,0.01634746213235891,0.259507916215604,0.2427857297419018
