fit_date,forecast_start,forecast_end,mu,omega,alpha[1],gamma[1],beta[1],nu
2021-09-08,2021-09-09,2021-10-07,0.27300211712027894,0.06344582728246567,0.26122995058759413,-0.0812381279336936,0.9578363682782202,7.228584097006129
2021-10-07,2021-10-08,2021-11-05,0.2603137487434124,0.0657897673878231,0.25259202008274295,-0.07479485370700731,0.9576514546369312,6.944851337427813
2021-11-05,2021-11-08,2021-12-07,0.2375833294012066,0.06583367019041546,0.2648407897678155,-0.06709655280115187,0.9580568379212164,6.82290551515475
2021-12-07,2021-12-08,2022-01-06,0.2392593043562898,0.0789930033255871,0.26945768561504263,-0.06518643983063559,0.9523153880708515,6.3437527159316645
2022-01-06,2022-01-07,2022-02-07,0.1953823183574867,0.08288810799391669,0.2727334544631588,-0.06816622151840884,0.9498375172768809,6.625943561157058
2022-02-07,2022-02-08,2022-03-09,0.1757827188230219,0.06374341489429641,0.22870186726359445,-0.05145900861466103,0.9618001344723653,6.020558428092179
2022-03-09,2022-03-10,2022-04-07,0.18374636654799448,0.051837970052856445,0.15161479800194075,-0.018374952670380463,0.9616118280727267,7.189827362956886
2022-04-07,2022-04-08,2022-05-09,0.19979631885930868,0.021553683622239663,0.09771581173443095,0.009379222345651696,0.9849107893331774,7.926411681188544
2022-05-09,2022-05-10,2022-06-08,0.16286384953601613,0.023841557409299646,0.10946911320948066,0.010375515190176552,0.986006967830424,7.547725414214057
2022-06-08,2022-06-09,2022-07-11,0.13290437050703516,0.026464312068622865,0.1209673529937847,-0.011685482304911265,0.983276361735158,8.110803452416638
2022-07-11,2022-07-12,2022-08-09,0.10671700582714934,0.021051066144499166,0.10662728083772685,-0.014217935321660904,0.9862751760270125,9.165439268753383
2022-08-09,2022-08-10,2022-09-08,0.10564151048531277,0.027292507257235452,0.10605619063463495,-0.03422348973027888,0.9783766175863695,13.599139699484581
2022-09-08,2022-09-09,2022-10-07,0.07325968911816265,0.0348596686768871,0.09493203354757454,-0.052857251180267066,0.9703399694021966,26.67295364235145
2022-10-07,2022-10-10,2022-11-07,0.06353915388252362,0.04416776100416493,0.09856178511375707,-0.063131785117167,0.9643165814836345,15.73125079016838
2022-11-07,2022-11-08,2022-12-07,0.06132068864931446,0.04431677826620143,0.11247275653908563,-0.05928101617320776,0.966088817768508,16.013801395069624
2022-12-07,2022-12-08,2023-01-09,0.046614525989368584,0.04279660587281212,0.10322360718113954,-0.07060832797627248,0.9670954781760893,15.093001469777732
2023-01-09,2023-01-10,2023-02-08,0.028773581213464752,0.041052948153944904,0.09775736873690787,-0.06646578212726531,0.968350313243426,14.823329642854311
2023-02-08,2023-02-09,2023-03-10,0.05377754628125947,0.04388795146642872,0.10725416832083745,-0.06525680958214178,0.9653730282087811,14.728225011517779
2023-03-10,2023-03-13,2023-04-11,0.07482898895958007,0.02971067084999155,0.0902994474099637,-0.05032741049988934,0.976079934804912,15.742748032873829
2023-04-11,2023-04-12,2023-05-10,0.06909845287493147,0.030721742704510963,0.09580923324299269,-0.05601386112026197,0.9746608206309352,14.703171726426506
2023-05-10,2023-05-11,2023-06-09,0.0866707080206413,0.03033187529042665,0.07730541103686622,-0.06724992078288301,0.9750716875368286,12.723705679577265
2023-06-09,2023-06-12,2023-07-12,0.10820971238738998,0.029448958806517146,0.09524751109565689,-0.06838521490377317,0.9751375393515583,12.112699227716076
2023-07-12,2023-07-13,2023-08-10,0.07056584822776332,0.025327680986134797,0.09653258273360897,-0.07694792356523358,0.9790972538295284,10.525125581763195
2023-08-10,2023-08-11,2023-09-11,0.05688450100149144,0.0283272349756652,0.08941857879478404,-0.08261022168056122,0.9781356274109381,8.640908403665497
2023-09-11,2023-09-12,2023-10-10,0.04788803168712292,0.02743653222952611,0.09250585687524618,-0.07474517723345571,0.9792748724258452,8.616676649013328
2023-10-10,2023-10-11,2023-11-08,0.07543747792623388,0.03206780190098029,0.11202451739738556,-0.07257255155898848,0.975053692595526,8.711791452276568
2023-11-08,2023-11-09,2023-12-08,0.05540154039003331,0.01512905203138868,0.07820509340368095,-0.07174255555222916,0.9865634918313441,9.492676848261992
2023-12-08,2023-12-11,2024-01-10,0.04134370327707221,0.00886578329784407,0.02784381276772659,-0.10161309377817743,0.9889569620459399,9.103827173104014
2024-01-10,2024-01-11,2024-02-09,0.023021127465751235,0.011841831154394352,0.032697881667334526,-0.10764683449468276,0.9877290038619764,8.078223842792255
